DATE,TLAACBM027NBOG
1973-01-01,703.0825
1973-02-01,709.7377
1973-03-01,717.1067
1973-04-01,727.1182
1973-05-01,734.3993
1973-06-01,747.1050
1973-07-01,757.4752
1973-08-01,760.5435
1973-09-01,771.4495
1973-10-01,782.0889
1973-11-01,791.6414
1973-12-01,805.4510
1974-01-01,808.3246
1974-02-01,812.1014
1974-03-01,821.3545
1974-04-01,835.8633
1974-05-01,840.6642
1974-06-01,854.1363
1974-07-01,860.8111
1974-08-01,861.3611
1974-09-01,869.8129
1974-10-01,874.2887
1974-11-01,884.8470
1974-12-01,895.8820
1975-01-01,880.6561
1975-02-01,875.0440
1975-03-01,880.8260
1975-04-01,886.5771
1975-05-01,884.1182
1975-06-01,896.0771
1975-07-01,891.7056
1975-08-01,889.5492
1975-09-01,898.8111
1975-10-01,905.3717
1975-11-01,917.3791
1975-12-01,929.0315
1976-01-01,919.7795
1976-02-01,919.7732
1976-03-01,923.1773
1976-04-01,928.6135
1976-05-01,929.3213
1976-06-01,941.3360
1976-07-01,944.2842
1976-08-01,943.8004
1976-09-01,958.6673
1976-10-01,971.1391
1976-11-01,983.1799
1976-12-01,1010.1060
1977-01-01,998.7301
1977-02-01,995.1166
1977-03-01,1008.4450
1977-04-01,1020.9567
1977-05-01,1026.6185
1977-06-01,1040.8213
1977-07-01,1048.6193
1977-08-01,1049.1049
1977-09-01,1067.4002
1977-10-01,1078.6230
1977-11-01,1092.8873
1977-12-01,1115.5607
1978-01-01,1109.8806
1978-02-01,1111.1346
1978-03-01,1123.4785
1978-04-01,1145.8047
1978-05-01,1157.3087
1978-06-01,1173.2418
1978-07-01,1179.5364
1978-08-01,1180.8822
1978-09-01,1206.4680
1978-10-01,1220.7905
1978-11-01,1243.5758
1978-12-01,1270.3589
1979-01-01,1274.9073
1979-02-01,1276.2095
1979-03-01,1287.0473
1979-04-01,1318.5448
1979-05-01,1320.8192
1979-06-01,1351.1155
1979-07-01,1366.6419
1979-08-01,1373.8043
1979-09-01,1418.8553
1979-10-01,1431.3986
1979-11-01,1431.3514
1979-12-01,1452.5980
1980-01-01,1448.0127
1980-02-01,1460.8291
1980-03-01,1468.4482
1980-04-01,1481.9576
1980-05-01,1478.2100
1980-06-01,1488.1984
1980-07-01,1495.2406
1980-08-01,1507.6607
1980-09-01,1532.4107
1980-10-01,1553.0399
1980-11-01,1582.8711
1980-12-01,1610.2910
1981-01-01,1607.3794
1981-02-01,1614.0155
1981-03-01,1628.0516
1981-04-01,1652.9369
1981-05-01,1655.9287
1981-06-01,1682.6376
1981-07-01,1675.3799
1981-08-01,1687.1752
1981-09-01,1715.7352
1981-10-01,1676.1840
1981-11-01,1707.6150
1981-12-01,1720.5900
1982-01-01,1715.5113
1982-02-01,1718.3543
1982-03-01,1726.0870
1982-04-01,1738.7613
1982-05-01,1747.2539
1982-06-01,1761.3418
1982-07-01,1766.5316
1982-08-01,1783.9388
1982-09-01,1803.1798
1982-10-01,1823.1668
1982-11-01,1831.0205
1982-12-01,1867.6685
1983-01-01,1870.9009
1983-02-01,1862.5926
1983-03-01,1866.0777
1983-04-01,1880.1628
1983-05-01,1886.9580
1983-06-01,1900.9822
1983-07-01,1918.7117
1983-08-01,1920.5734
1983-09-01,1937.3899
1983-10-01,1963.9651
1983-11-01,1980.8572
1983-12-01,2013.1579
1984-01-01,2023.2215
1984-02-01,2021.3962
1984-03-01,2031.1890
1984-04-01,2067.3049
1984-05-01,2084.8831
1984-06-01,2102.2901
1984-07-01,2109.0065
1984-08-01,2108.5226
1984-09-01,2134.5846
1984-10-01,2142.0611
1984-11-01,2172.5332
1984-12-01,2211.5659
1985-01-01,2202.0277
1985-02-01,2213.2520
1985-03-01,2218.7560
1985-04-01,2230.9064
1985-05-01,2243.1898
1985-06-01,2267.6121
1985-07-01,2268.9683
1985-08-01,2272.6590
1985-09-01,2303.5271
1985-10-01,2309.9576
1985-11-01,2356.0063
1985-12-01,2407.6734
1986-01-01,2404.9407
1986-02-01,2403.0920
1986-03-01,2421.8887
1986-04-01,2445.2029
1986-05-01,2437.2244
1986-06-01,2447.0548
1986-07-01,2468.5093
1986-08-01,2487.8735
1986-09-01,2523.3144
1986-10-01,2530.3306
1986-11-01,2566.6167
1986-12-01,2626.9782
1987-01-01,2636.3389
1987-02-01,2624.2351
1987-03-01,2635.4601
1987-04-01,2669.6899
1987-05-01,2667.2629
1987-06-01,2670.7532
1987-07-01,2661.6693
1987-08-01,2674.0255
1987-09-01,2713.7495
1987-10-01,2740.7569
1987-11-01,2744.8787
1987-12-01,2761.7511
1988-01-01,2767.0383
1988-02-01,2765.9783
1988-03-01,2772.0245
1988-04-01,2807.4456
1988-05-01,2823.3378
1988-06-01,2851.9283
1988-07-01,2863.1603
1988-08-01,2863.0750
1988-09-01,2883.6892
1988-10-01,2907.0612
1988-11-01,2930.7322
1988-12-01,2956.8733
1989-01-01,2954.6429
1989-02-01,2970.7701
1989-03-01,2973.5395
1989-04-01,2987.5212
1989-05-01,2999.1205
1989-06-01,3009.7274
1989-07-01,3036.0006
1989-08-01,3054.0535
1989-09-01,3083.9045
1989-10-01,3113.0320
1989-11-01,3132.7260
1989-12-01,3163.5609
1990-01-01,3160.9575
1990-02-01,3160.8940
1990-03-01,3177.5313
1990-04-01,3195.5415
1990-05-01,3190.3985
1990-06-01,3224.7666
1990-07-01,3237.9379
1990-08-01,3268.3032
1990-09-01,3280.9279
1990-10-01,3283.1327
1990-11-01,3299.4085
1990-12-01,3315.4431
1991-01-01,3282.0012
1991-02-01,3288.6853
1991-03-01,3296.7266
1991-04-01,3300.9574
1991-05-01,3281.4348
1991-06-01,3295.8013
1991-07-01,3282.4589
1991-08-01,3294.3524
1991-09-01,3323.6743
1991-10-01,3344.7576
1991-11-01,3382.5858
1991-12-01,3400.9200
1992-01-01,3398.7135
1992-02-01,3396.0688
1992-03-01,3399.0256
1992-04-01,3408.0089
1992-05-01,3384.9675
1992-06-01,3404.4214
1992-07-01,3389.4042
1992-08-01,3404.7080
1992-09-01,3439.3039
1992-10-01,3447.2575
1992-11-01,3477.9526
1992-12-01,3492.3281
1993-01-01,3459.3754
1993-02-01,3455.2614
1993-03-01,3470.1880
1993-04-01,3485.6602
1993-05-01,3503.7301
1993-06-01,3541.3259
1993-07-01,3555.6530
1993-08-01,3565.9777
1993-09-01,3595.5874
1993-10-01,3591.3899
1993-11-01,3619.6920
1993-12-01,3649.9427
1994-01-01,3667.9955
1994-02-01,3672.4021
1994-03-01,3685.4280
1994-04-01,3701.8830
1994-05-01,3709.7482
1994-06-01,3720.4891
1994-07-01,3748.8579
1994-08-01,3757.7270
1994-09-01,3781.6905
1994-10-01,3809.1023
1994-11-01,3835.0045
1994-12-01,3873.7364
1995-01-01,3893.9467
1995-02-01,3899.2690
1995-03-01,3923.3428
1995-04-01,3992.5481
1995-05-01,4008.1457
1995-06-01,4027.7658
1995-07-01,4053.9896
1995-08-01,4061.4583
1995-09-01,4110.4923
1995-10-01,4135.4594
1995-11-01,4158.1710
1995-12-01,4206.9708
1996-01-01,4224.5688
1996-02-01,4202.3128
1996-03-01,4192.4644
1996-04-01,4233.7882
1996-05-01,4228.5074
1996-06-01,4241.9597
1996-07-01,4239.9413
1996-08-01,4235.8868
1996-09-01,4282.5752
1996-10-01,4313.4563
1996-11-01,4379.2141
1996-12-01,4418.4750
1997-01-01,4435.2057
1997-02-01,4472.1378
1997-03-01,4495.3605
1997-04-01,4553.7617
1997-05-01,4566.1195
1997-06-01,4568.9135
1997-07-01,4587.5384
1997-08-01,4620.3097
1997-09-01,4663.2532
1997-10-01,4716.1309
1997-11-01,4802.8383
1997-12-01,4835.0327
1998-01-01,4868.5744
1998-02-01,4883.6368
1998-03-01,4921.8915
1998-04-01,4950.3242
1998-05-01,4934.0873
1998-06-01,4970.3049
1998-07-01,4965.3919
1998-08-01,5017.8680
1998-09-01,5104.4310
1998-10-01,5210.4207
1998-11-01,5281.6745
1998-12-01,5309.4272
1999-01-01,5299.2187
1999-02-01,5264.6358
1999-03-01,5223.9318
1999-04-01,5244.8007
1999-05-01,5257.0232
1999-06-01,5296.3121
1999-07-01,5270.9999
1999-08-01,5283.0186
1999-09-01,5349.5374
1999-10-01,5402.3929
1999-11-01,5510.4266
1999-12-01,5627.3405
2000-01-01,5627.8640
2000-02-01,5652.4020
2000-03-01,5684.8423
2000-04-01,5759.2866
2000-05-01,5822.0291
2000-06-01,5845.6880
2000-07-01,5863.6835
2000-08-01,5894.5717
2000-09-01,5962.0393
2000-10-01,5996.8000
2000-11-01,6031.3772
2000-12-01,6135.9905
2001-01-01,6186.7179
2001-02-01,6143.2778
2001-03-01,6168.5416
2001-04-01,6226.6348
2001-05-01,6202.1926
2001-06-01,6183.1727
2001-07-01,6183.6406
2001-08-01,6216.7293
2001-09-01,6469.1321
2001-10-01,6390.8299
2001-11-01,6446.5408
2001-12-01,6455.6342
2002-01-01,6409.8892
2002-02-01,6379.0299
2002-03-01,6329.0759
2002-04-01,6375.4806
2002-05-01,6380.7390
2002-06-01,6410.8681
2002-07-01,6441.5454
2002-08-01,6561.4352
2002-09-01,6661.8227
2002-10-01,6755.2629
2002-11-01,6882.5123
2002-12-01,6991.4318
2003-01-01,6930.1894
2003-02-01,6995.7441
2003-03-01,7024.1155
2003-04-01,7070.4414
2003-05-01,7183.6808
2003-06-01,7267.0006
2003-07-01,7276.0778
2003-08-01,7286.4301
2003-09-01,7279.0532
2003-10-01,7253.3634
2003-11-01,7317.6476
2003-12-01,7359.8851
2004-01-01,7412.2729
2004-02-01,7515.9042
2004-03-01,7536.3414
2004-04-01,7638.9093
2004-05-01,7654.5460
2004-06-01,7733.5878
2004-07-01,7817.5475
2004-08-01,7852.2887
2004-09-01,7964.3598
2004-10-01,7967.3809
2004-11-01,8049.1587
2004-12-01,8077.4835
2005-01-01,8102.7190
2005-02-01,8171.9915
2005-03-01,8256.9612
2005-04-01,8301.1571
2005-05-01,8372.7212
2005-06-01,8421.6701
2005-07-01,8445.2279
2005-08-01,8548.8741
2005-09-01,8640.4328
2005-10-01,8665.8073
2005-11-01,8731.0610
2005-12-01,8813.8582
2006-01-01,8851.8033
2006-02-01,8915.7928
2006-03-01,8967.5397
2006-04-01,9102.2494
2006-05-01,9219.9540
2006-06-01,9232.8105
2006-07-01,9255.1346
2006-08-01,9307.5900
2006-09-01,9391.9902
2006-10-01,9586.0436
2006-11-01,9677.9192
2006-12-01,9802.9102
2007-01-01,9842.5856
2007-02-01,9892.7085
2007-03-01,9852.1276
2007-04-01,9937.4049
2007-05-01,9983.0321
2007-06-01,10040.2869
2007-07-01,10106.3979
2007-08-01,10281.8966
2007-09-01,10490.7979
2007-10-01,10613.0127
2007-11-01,10819.5425
2007-12-01,10883.3860
2008-01-01,10964.2801
2008-02-01,10999.7188
2008-03-01,11108.5247
2008-04-01,11044.3493
2008-05-01,10995.7386
2008-06-01,10958.3551
2008-07-01,10938.0716
2008-08-01,10955.1434
2008-09-01,11303.7263
2008-10-01,11962.9862
2008-11-01,12192.1503
2008-12-01,12409.9628
2009-01-01,12268.2744
2009-02-01,12037.4589
2009-03-01,12041.6591
2009-04-01,12021.4869
2009-05-01,12063.3750
2009-06-01,11909.3898
2009-07-01,11721.7855
2009-08-01,11677.8700
2009-09-01,11712.2855
2009-10-01,11764.6014
2009-11-01,11826.8133
2009-12-01,11775.7514
2010-01-01,11683.0953
2010-02-01,11713.43
2010-03-01,11637.8708
2010-04-01,11793.0096
2010-05-01,11781.2416
2010-06-01,11692.1593
2010-07-01,11759.0523
2010-08-01,11829.9621
2010-09-01,11826.398
2010-10-01,11901.4134
2010-11-01,11883.3005
2010-12-01,11858.7774
2011-01-01,11833.9007
2011-02-01,11901.9535
2011-03-01,12026.0486
2011-04-01,12151.8806
2011-05-01,12225.6303
2011-06-01,12283.8145
2011-07-01,12313.0358
2011-08-01,12419.9994
2011-09-01,12471.4758
2011-10-01,12485.3104
2011-11-01,12516.1678
2011-12-01,12570.1862
2012-01-01,12585.7386
2012-02-01,12706.533
2012-03-01,12617.5634
2012-04-01,12641.7431
2012-05-01,12706.2213
2012-06-01,12723.8507
2012-07-01,12791.8187
2012-08-01,12837.4481
2012-09-01,12853.8911
2012-10-01,12861.7658
2012-11-01,13023.0052
2012-12-01,13139.8422
2013-01-01,13203.5308
2013-02-01,13271.6069
2013-03-01,13310.558
2013-04-01,13348.5325
2013-05-01,13466.1349
2013-06-01,13520.514
2013-07-01,13576.5283
2013-08-01,13672.2047
2013-09-01,13778.3821
2013-10-01,13875.5178
2013-11-01,13998.487
2013-12-01,14047.0802
2014-01-01,14120.1991
2014-02-01,14255.583
2014-03-01,14340.0072
2014-04-01,14392.9742
2014-05-01,14517.8171
2014-06-01,14651.8641
2014-07-01,14776.4263
2014-08-01,14852.8603
2014-09-01,14933.3443
2014-10-01,14974.9681
2014-11-01,15082.6676
2014-12-01,15049.6157
2015-01-01,15214.4814
2015-02-01,15265.7181
2015-03-01,15347.9974
2015-04-01,15362.0203
2015-05-01,15338.8467
2015-06-01,15304.036
2015-07-01,15360.7198
2015-08-01,15465.3411
2015-09-01,15402.7992
2015-10-01,15596.3478
2015-11-01,15641.2904
2015-12-01,15576.1161
2016-01-01,15663.6796
2016-02-01,15747.0549
2016-03-01,15730.2524
2016-04-01,15824.9893
2016-05-01,15881.0165
2016-06-01,15926.1286
2016-07-01,16009.2246
2016-08-01,16082.6937
2016-09-01,16059.6493
2016-10-01,16007.1861
2016-11-01,16078.0682
2016-12-01,16051.7983
2017-01-01,16083.1665
2017-02-01,16175.9805
2017-03-01,16191.0735
2017-04-01,16195.0927
2017-05-01,16204.075
2017-06-01,16214.9256
2017-07-01,16330.1087
2017-08-01,16496.7977
2017-09-01,16514.4358
2017-10-01,16578.7337
2017-11-01,16747.5127
2017-12-01,16791.6407
2018-01-01,16747.6672
2018-02-01,16726.2105
2018-03-01,16639.7467
2018-04-01,16617.8707
2018-05-01,16699.4459
2018-06-01,16751.7381
2018-07-01,16751.5569
2018-08-01,16760.9952
2018-09-01,16751.5218
2018-10-01,16820.3129
2018-11-01,16921.0496
2018-12-01,17050.8075
2019-01-01,17026.1877
2019-02-01,17041.7223
2019-03-01,17111.9904
2019-04-01,17122.6639
2019-05-01,17184.2716
2019-06-01,17332.1137
2019-07-01,17333.8385
2019-08-01,17486.9913
2019-09-01,17472.7454
